ticker symbol	DBMS	version	creator	db type	constraints	schema	total ms	start time	end time	host name	no. cores	operating system	file_name
mysql	MySQL Database	v3.0.4	bash	client	inactive	company	6341	2021-10-29 11:06:56.819100986	2021-10-29 11:07:03.160398888	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
oracle	Oracle Database	v3.0.4	bash	client	inactive	company	9059	2021-10-29 11:24:44.031117358	2021-10-29 11:24:53.090742242	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
percona	Percona Server for MySQL	v3.0.4	bash	client	inactive	company	6600	2021-10-29 11:26:10.291236912	2021-10-29 11:26:16.891498097	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
postgresql	PostgreSQL	v3.0.4	bash	client	inactive	company	3504	2021-10-29 11:26:57.793487783	2021-10-29 11:27:01.298290678	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
sqlserver	MS SQL Server	v3.0.4	bash	client	inactive	company	3878	2021-10-29 11:27:52.656432558	2021-10-29 11:27:56.534488543	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
timescale	TimescaleDB	v3.0.4	bash	client	inactive	company	3513	2021-10-29 11:28:38.905171747	2021-10-29 11:28:42.418752273	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
yugabyte	YugabyteDB	v3.0.4	bash	client	inactive	company	12169	2021-10-29 11:29:39.606561246	2021-10-29 11:29:51.776416758	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
agens	AgensGraph	v3.0.5	cmd	client	active	company	4146	2021-12-14 10:25:48.877432900	2021-12-14 10:25:53.024432100	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.5_win10
cockroach	CockroachDB	v3.0.5	cmd	client	active - no choice	company	6610	2021-12-14 10:27:29.379931200	2021-12-14 10:27:35.990432700	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.5_win10
cratedb	CrateDB	v3.0.5	cmd	client	active - no choice	company	5325	2021-12-14 10:29:39.390431800	2021-12-14 10:29:44.715931300	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.5_win10
cubrid	CUBRID	v3.0.5	cmd	client	active	company	6295	2021-12-14 10:30:22.163431700	2021-12-14 10:30:28.458932400	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.5_win10
derby	Apache Derby	v3.0.5	cmd	client	active	company	14610	2021-12-14 10:32:04.976931100	2021-12-14 10:32:19.587432100	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.5_win10
derby_emb	Apache Derby	v3.0.5	cmd	embedded	active	company	16212	2021-12-14 10:32:20.331931300	2021-12-14 10:32:36.544434000	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.5_win10
